"","text"
"498","  dots  original      perfectly   buy   future dots reconditioned"
"499","  little hard     pare            "
"500"," im weary   picking  conversations     actively using   heard   happening   news         concerning   wish amazon  release  widespread   push  firmware  prevent         heard   "
"501","theres   dislike  alexa dot   cortna  cool  alexa   awesome application   family unbelievable device   alive   "
"502"," am happy   refurbished echo dot ive      weeks       perfectly         original box  looks   im happy   purchase"
"503","thumbs "
"504","workreat"
"505","   wrong         rep  spoke   fix  replacement  registered   else   price   dot      price   refurbished ones  bought  brand spanking        "
"506","  expected"
"507"," "
"508","         enjoyed   perfectly"
"509","purchased  grandson"
"510"," "
"511","happy           "
"512","love  dots especially   ability  talk         convenient  issues   refurbished     "
"513","started taking   own havent     unplugged   day    talking  daughter  laying  bed       started     movie moana  completely scared  sht    daughter "
"514","    speaker sounds fine  overall  recommend"
"515","   "
"516","loved  price   essentially brand  dot     couldnt tell    refurbished  looked brand        unit  couldnt consider    deal   love  versatility   echo dot      "
"517","pleased       "
"518","        throughout  house  convenient  set  timer  check  weather  whatever wherever"
"519","love       experience  refurbished devices  excellent"
"520","love  echo dot"
"521"," refurbished item  finebut  wasnt aware     fee    echos set         missing  cordthank "
"522"," weeks  setting         connection  light  sound   guess  shouldnt  purchased  refurbished dot"
"523","    brandnew unit  addition   collection"
"524"," price  perfectly saved  money   refurb  buy "
"525",NA
"526","verygod"
"527","   "
"528","    bought    bought    grab        smart switched  youre set  smart home capabilities    highly recommended"
"529","  "
"530","       figure    link   devices   set  sonos   pretty easy   products fault     time  figure  "
"531"," useful"
"532","   worst amazon purchase     am  amazon fanlove  brandunlimited digital musicprime videoseven buy  online games music  movies  amazon  app   tried     simple purchases       useless"
"533","     microphone don  pick       size echo  audio quality  okay   size"
"534"," bought  refurbished ones    home    perfectly  appear brand "
"535","amazon doesnt disappoint"
"536","    bt receiver  output connected  vintage stereo equipment"
"537","     cant tell      edit  longevity    thats  real test"
"538","amazing"
"539"," love "
"540","  dot  fine  compliments  echo"
"541","       tell  difference      bough   refurbished "
"542"," im   fan  echoes  ones  im  bathrooms      expected "
"543","purchased      mothershe loves talking  alexa  responsivecan detect  name     "
"544","       performance   brand     "
"545"," echo dot disconnects   speaker   times  day   buy  refurbished product   stars  effort"
"546","love    product"
"547","     satisfied"
"548"," love alexa   sound   dot      own  echo nd gen   kitchenliving       bedroom  theres  significant difference  sound  dot lacks   base sound  sounds    coming   cheap portable speaker    disappointed  returned      shelled   money  buy   echo    bedroom "
"549","  awhile    connected im  electronically savy       love "
"550","cant       sink   wireless       returning   try   time"
"551","absolutely love "
"552","product stopped   return time ran "
"553"," dot    refurbishedthought   "
"554","love  guys    "
"555"," love      alexa    bedroom    checking weather  meditation music    timer  perfect   husband     eye drops multiple times  day    eyes closed   minutes"
"556"," purchased  refurbished     brand    minute set   easy     echo dot    command  start playing music   backyard deck sound system"
"557"," substitute   original   echo dot performs   sound quality  poor   listen        level "
"558","love  echo dot helps husband  netflix   apps   amazon fire tv       refurbished planning  getting     amazon fire stick  bedroom"
"559","stopped    months  warranty      months    assumed  amazon product sold  amazon     standards  guaranteeing        months  mean    product supposed    piece  junkthey offered    discount     buy        buy  "
"560","     whatsoever alexa thank "
"561","   uncle  sometime  goes  little haywire"
"562","bought    son   didnt     return "
"563","bought    quit connecting  wifi  responding  voice   months hard  soft reset   fix  "
"564"," received  echo dot    condition   advised  paid     amazon     writing raised  price      research  buying       dealset    dot  simple   plug   follow  app instructions except initially      actually     iphones wifi settings  called amazon customer service   dunno     lately ive  getting terrible support  guy    call  rambled   completely unhelpful script     setting   dot      middle   spielim       norm       refurbished   dot   pretty finicky wifi range  randomly disconnects    app    range   ghz connection  strong reconnecting   pain  time  wellall    alexa    amazingly   dont   speaker hooked         enjoy   mics range  sensitivity     annoying limitations  apples siri    shes playing audio  device speakers music podcasts etc  hey siri feature    useless alexa    hearing   whatever  playing   time   amazingly fast responsiveness   havent tried   louder speakers   im      continue  hold truesetting  alexa  control   wireless devices   breeze albeit  limitations  support  arlo devices  nil     special settings   led devices eg rainbow effects alexa cant handle       change solid colors  brightness levelsall    rating wouldve  lower    gotten  decent price   item   connectivity  persist     exchangereturn  item  dont     alexas   growing  "
"565"," bought     saying    love theirs              volume   loud      played music      treadmill      tower speaker   xs louder"
"566","       "
"567","      refurbished model  workat     home"
"568"," bad  device  dont      refurbished     activated      talking    activated  start talking   talk    yell super lauded"
